review_id	sent_num	sent_offset	sent_end	sent_text	Author	Classification	Content	Content--Narrative	Content--Other	Content--Quote	Content--Theme	None	Other_works	Reader_response	Reader_response--Evaluation_of_quality	Reader_response--Feelings	Reader_response--Identification_and_immersion	Reader_response--Reading_Context	Reader_response--Reception	Reader_response--Reflection	Recommendations	Style	Style--Context	Style--Structure	Style--Stylistic_features
impfic-review-10274	1	0	78	Jan van Mersbergen (1971) publiceerde sinds 2001 zes goed ontvangen en romans.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-10274	2	79	218	op 11 november 2011 verscheen 'Naar de overkant van de nacht', waarin een man een dag en een nacht doorhaalt tijdens het carnaval in Venlo.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-10274	3	219	387	Hij ontmoet dwazen en wijzen, leert de ware aard en betekenis van 'Vastelaovond' kennen, en leert dat hij tot op de bodem moet gaan en pas dan uiteindelijk zichzelf is.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-10274	4	388	491	Zo ontdekt hij zijn ware identiteit, geeft hij zijn verleden een plaats en herkent hij zijn bestemming.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-10274	5	492	732	Zijn verleden als schipperskind, zijn heden als stiefvader van de kinderen (onder wie een doofblinde tweeling) van zijn eertijds afgewezen jeugdliefde en zijn toekomst als man en vader worden hem duidelijk in het nu van de carnavalsviering.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-10274	6	733	793	Van Mersbergen maakt de dronkenschap voelbaar in zijn stijl.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
impfic-review-10274	7	794	881	Hij schreef een knap geconstrueerde roman, zo knap dat het bijna ongeloofwaardig wordt:	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1
impfic-review-10274	8	882	992	alle details kloppen en hebben een literaire betekenis en Van Mersbergen wrijft dat de lezer onophoudelijk in.	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1
impfic-review-10274	9	993	1033	Knap, boeiend, maar soms wel vermoeiend.	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
impfic-review-10274	10	1034	1051	Vrij kleine druk.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-10429	1	0	161	Tweede roman van de Nederlandse schrijver (1984), die in 2009 succesvol debuteerde met 'Dagen van gras' (genomineerd voor diverse prijzen, vertaald en verfilmd).	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-10429	2	162	270	Huff publiceert regelmatig in nrc.next en won met zijn korte verhalen de Hollands Maandblad Prozaprijs 2011.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-10429	3	271	469	Hoofdpersoon is de student Philip Hofman – Huff putte voor dit boek veelvuldig uit eigen ervaringen, en dat is terug te zien in de overtuigend geschetste wereld van het Amsterdamsch Studenten Corps.	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
impfic-review-10429	4	470	709	Net als in zijn eerste roman staat niet het relatief simpele verhaaltje centraal (jongen duikt steeds dieper in het corpsleven, gaat vreemd met een meisje van de vereniging en verliest langzaam de grip op de illusie van het studentenhuis).	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-10429	5	710	750	Het gaat vooral om de gedachte erachter:	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-10429	6	751	908	de afgesloten ramen van de sociëteit, niet om de wereld een blik naar binnen te ontzeggen, maar om de leden nog even niet naar buiten te hoeven laten kijken.	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-10429	7	909	1078	Die strijd tussen illusie en werkelijkheid verwoordt de schrijver op talentvolle wijze in overtuigend, lyrisch proza, met veel verwijzingen naar (hedendaagse) popmuziek.	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1
impfic-review-10429	8	1079	1127	Winnaar Dioraphte Jongerenliterauuur prijs 2013.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
impfic-review-10429	9	1128	1146	Vanaf ca. 17 jaar.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-10429	10	1147	1159	Kleine druk.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-1082	1	0	55	Brianna en Colleen O’Leary weten wat hun te doen staat:	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-1082	2	56	187	een bemiddelde man trouwen om zo de toekomst van Irish Meadows veilig te stellen, maar de beide zussen hebben zo hun eigen plannen.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-1082	3	188	323	Brianna wil graag studeren, terwijl Colleen op zich niet zo’n probleem heeft met haar vaders eis, zolang ze zelf een man mag uitzoeken.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-1082	4	324	428	Maar dan verschijnen Rylan Montgomery en Gilbert Whelan ten tonele en schoppen ieders plannen in de war.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-1082	5	429	562	Elk gaat zijn eigen weg tot James O’Leary, de vader, een hartaanval krijgt en ze het enkel kunnen redden als ze de krachten bundelen.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-1082	6	563	765	Deze familieroman schetst het leven van twee totaal verschillende zussen die allebei hun droom najagen en met dat thema is meteen een brug geslagen naar het heden, want is dat niet wat we allemaal doen?	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-1082	7	766	868	Uit alles blijkt dat de auteur gedegen research heeft gedaan, en dat komt het verhaal zeker ten goede.	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
impfic-review-1082	8	869	1095	Afgezien van de overvloed aan beschrijvingen en bijvoeglijk naamwoorden waardoor dit verhaal enigszins bombastisch aandoet en de soms ontbrekende diepgang is dit een heerlijk verhaal om je voor een aantal uren in te verliezen.	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1
impfic-review-1082	9	1096	1162	Eerste deel in een serie over de Ierse immigrantenfamilie O’Leary.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-1082	10	1163	1240	De auteur baseerde haar verhaal op de geschiedenis van haar eigen voorouders.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-1086	1	0	150	In de tijd van de Arabische Lente vlucht de 20-jarige Marokkaan Lakhdar, verkoper van religieuze boeken, voor de politie vanuit Tanger naar Barcelona.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-1086	2	151	245	Zijn vriendschap met jeugdvriend Bassam staat op het spel, want Bassam wil een aanslag plegen.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-1086	3	246	374	Lakhdar heeft idealen, is verliefd op de Spaanse Judit, maar als de situatie voor hem te verwarrend wordt, vermoordt hij Bassam.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-1086	4	375	439	Mathias Énard, geboren in Frankrijk in 1972, woont in Barcelona.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-1086	5	440	562	Zijn boek 'Vertel hun over veldslagen, koningen en olifanten' stond op de nominatie voor de Europese Literatuurprijs 2012.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
impfic-review-1086	6	563	608	Énard lijkt een hedendaagse Mohammed Shoekri.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-1086	7	609	703	Hij schrijft even vlot en de lotgevallen van de Marokkaanse hoofdpersoon zijn even ontroerend.	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1
impfic-review-1086	8	704	785	Bovendien interessant om te lezen hoe Lakhdar reageert op de Arabische revolutie.	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
impfic-review-1086	9	786	798	Kleine druk.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-10914	1	0	191	Een aantal, ogenschijnlijk los staande, (dieren)anekdotes wordt door de auteur langzamerhand verweven tot een roman over de babyboomgeneratie met als hoofdpersoon dierenarts Roelof de Koning.	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
impfic-review-10914	2	192	316	Centrale thema is de relatie tussen mens en dier, verwoord in bizarre, soms geestige maar ook surrealistische stukjes tekst.	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
impfic-review-10914	3	317	404	De titel verwijst naar een regel uit een gedicht van Lucebert, een van 'De Vijftigers'.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-10914	4	405	537	Deze groep dichters streefde in hun poëzie naar spontaniteit en vrije expressie, los van de heersende traditionele kunstopvattingen.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-10914	5	538	720	De fragmentarische vorm van de roman verwijst zowel naar die periode als naar de huidige tijd waarin de mens wordt overspoeld door brokstukken losse informatie van overal en nergens.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
impfic-review-10914	6	721	829	Een dergelijke manier van schrijven vereist van de lezer wel de nodige concentratie en doorzettingsvermogen.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
impfic-review-10914	7	830	942	Dit is de tweede roman van een auteur die reeds meerdere gedichten- en verhalenbundels op zijn naam heeft staan.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-10914	8	943	1022	Hij heeft verschillende prijzen ontvangen waaronder in 2012 de P.C. Hooftprijs.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
impfic-review-11077	1	0	112	Pieter (18) gaat na zijn eindexamen als vrijwilliger Engelse les geven aan blinde en dove kinderen op Sri Lanka.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11077	2	113	248	Tijdens de kerstperiode heeft hij met zijn collega vrijwilliger John een vakantie aan zee, waar zij twee Zweedse vriendinnen ontmoeten.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11077	3	249	320	Pieter wordt al snel verliefd op Elin en brengt de nacht met haar door.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11077	4	321	419	De volgende morgen wordt de kust getroffen door een vloedgolf en moeten zij rennen voor hun leven.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11077	5	420	480	In de chaos die daarna ontstaat, gaan zij elk hun eigen weg.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11077	6	481	622	Bijna vijf jaar later ontvangt Pieter via Facebook een vriendschapsverzoek van Elin en beleeft hij de verdrongen, angstige avonturen opnieuw.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11077	7	623	810	Op indringende wijze worden de waargebeurde belevenissen van Julius ’t Hart, die in 2004 ten tijde van de tsunami vrijwilligerswerk deed op Sri Lanka, door Samson in dit verhaal verwerkt.	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1
impfic-review-11077	8	811	942	De belevenissen op Sri Lanka worden als flashbacks beschreven, afgewisseld met fragmenten uit de finale van het WK voetbal in 2010.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
impfic-review-11077	9	943	1065	Het verhaal heeft de structuur van een voetbalwedstrijd, met voorbeschouwing, eerste, tweede helft, rust en nabeschouwing.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
impfic-review-11077	10	1066	1247	Deze indringende raamvertelling is een zeer geslaagd twaalfde deel uit de Slash-reeks, waarin een waargebeurd levensverhaal van een jongere wordt geschreven door een bekende auteur.	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
impfic-review-11077	11	1248	1266	Vanaf ca. 15 jaar.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11175	1	0	90	Alex von Hemmerle en Nicolas (Nick) von Bingen zijn al jaren vrienden en beiden weduwnaar.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11175	2	91	211	Als Nicolas ontdekt dat zijn onbekende moeder half-joods is, vlucht hij samen met zijn twee zoons in 1938 uit Duitsland.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11175	3	212	264	Hij krijgt daarbij van zijn vriend acht paarden mee:	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11175	4	265	349	twee lippizaners en zes arabieren, om zo bij een circus in Florida te kunnen werken.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11175	5	350	561	Het verhaal vertelt over dat circusleven, over de liefde van Nick voor een Poolse koorddanseres en de liefde voor zijn toppaard Pegasus, een lippizaner genoemd naar het vliegende paard uit de Griekse mythologie.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11175	6	562	630	Het verhaal vertelt ook over Alex die in Duitsland verzetswerk doet.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11175	7	631	652	Nick heeft een droom:	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11175	8	653	687	paarden fokken op een eigen ranch.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11175	9	688	750	Maar hoe sterk is de band met het circus dat zijn leven redde?	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11175	10	751	844	De laatste hoofdstukken beschrijven de volgende generaties van beide families en van Pegasus.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11175	11	845	979	Een familieroman met boeiende personen, soms wat te gemakkelijke verhaallijnen en met realistische beschrijvingen van de circuswereld.	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1
impfic-review-11175	12	980	1056	De bestsellerauteur heeft inmiddels ruim negentig romans op haar naam staan.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11175	13	1057	1084	Voor een grote lezerskring.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
impfic-review-11454	1	0	69	Ook dit keer schreef Sue Grafton weer een boek wat heerlijk wegleest.	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
impfic-review-11454	2	70	151	Haar niveau is constant hoog en dat is best knap als je aan boek nr. 16 toe bent.	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
impfic-review-11454	3	152	227	Hoofdpersoon Kinsey Millhone heb ik bij pagina 40 al in mijn hart gesloten.	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
impfic-review-11454	4	228	345	Het is best grappig om haar beter te leren kennen en als je al Graftons boeken al hebt gelezen, is dat geen probleem.	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
impfic-review-11454	5	346	500	Het enige dat me nu een beetje tegen begint te staan, is het feit dat Kinsey amper ouder wordt en maar moeite blijft hebben met relaties en vrienschappen.	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
impfic-review-11454	6	501	534	Het schiet allemaal niet echt op.	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
impfic-review-11454	7	535	719	Doordat Grafton er dit keer voor heeft gekozen haar verhaal te baseren op een waargebeurde onopgeloste moord heb ik jammer genoeg steeds het gevoel gehad dat ik iets miste in dit boek.	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
impfic-review-11454	8	720	819	Het duurde even voordat ik er de vinger op kon leggen, maar het mist op een of andere manier vaart.	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
impfic-review-11454	9	820	964	Het is en blijft een goed boek, want Grafton kan goed schrijven, maar het lijkt wel alsof ze geprobeerd heeft dit verhaal te goed uit te diepen.	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0
impfic-review-11454	10	965	1075	Het draait vooral om het verhaal en de personages en niet echt meer om Kinsey en die is vaak juist zo grappig.	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
impfic-review-11454	11	1076	1181	De combinatie van spanning en ontspanning is wat de boeken van Grafton zo ontzettend aantrekkelijk maakt.	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
